"task_id","p","n","cov_model","signal","n_iter","n_perm","power_HT","time_min"
1,200,5,"identity","null",1000,1000,0.059,2.57
2,500,5,"identity","null",1000,1000,0.057,4.03
3,2000,5,"identity","null",1000,1000,0.046,11.52
4,200,10,"identity","null",1000,1000,0.048,4.47
5,500,10,"identity","null",1000,1000,0.04,7.86
6,2000,10,"identity","null",1000,1000,0.043,24.72
7,200,20,"identity","null",1000,1000,0.041,9.3
8,500,20,"identity","null",1000,1000,0.043,16.94
9,2000,20,"identity","null",1000,1000,0.05,56.84
10,200,50,"identity","null",1000,1000,0.047,33.71
11,500,50,"identity","null",1000,1000,0.055,93.54
12,2000,50,"identity","null",1000,1000,0.058,315.93
13,200,5,"cs","null",1000,1000,0.057,4.66
14,500,5,"cs","null",1000,1000,0.041,6.8
15,2000,5,"cs","null",1000,1000,0.049,18.19
16,200,10,"cs","null",1000,1000,0.059,7.33
17,500,10,"cs","null",1000,1000,0.047,12.3
18,2000,10,"cs","null",1000,1000,0.044,36.83
19,200,20,"cs","null",1000,1000,0.049,14.73
20,500,20,"cs","null",1000,1000,0.059,25.95
21,2000,20,"cs","null",1000,1000,0.045,86.66
22,200,50,"cs","null",1000,1000,0.058,51.51
23,500,50,"cs","null",1000,1000,0.055,92.22
24,2000,50,"cs","null",1000,1000,0.032,313.45
25,200,5,"ar1","null",1000,1000,0.045,4.77
26,500,5,"ar1","null",1000,1000,0.037,6.87
27,2000,5,"ar1","null",1000,1000,0.055,18.07
28,200,10,"ar1","null",1000,1000,0.049,7.45
29,500,10,"ar1","null",1000,1000,0.046,12.52
30,2000,10,"ar1","null",1000,1000,0.051,37.94
31,200,20,"ar1","null",1000,1000,0.035,14.48
32,500,20,"ar1","null",1000,1000,0.054,26.4
33,2000,20,"ar1","null",1000,1000,0.053,86.18
34,200,50,"ar1","null",1000,1000,0.045,51.45
35,500,50,"ar1","null",1000,1000,0.051,91.87
36,2000,50,"ar1","null",1000,1000,0.05,309.48
37,200,5,"identity","sparse",1000,1000,0.047,4.7
38,500,5,"identity","sparse",1000,1000,0.06,6.9
39,2000,5,"identity","sparse",1000,1000,0.072,18.21
