"task_id","p","n","cov_model","signal","n_iter","power_BS","power_CQ","power_SD","time_min"
1,200,5,"identity","null",1000,0.076,0.08,0.088,0.04
2,500,5,"identity","null",1000,0.056,0.059,0.051,0.16
3,2000,5,"identity","null",1000,0.062,0.065,0.017,2.45
4,10000,5,"identity","null",1000,0.059,0.06,0.001,56.93
5,200,10,"identity","null",1000,0.06,0.059,0.056,0.11
6,500,10,"identity","null",1000,0.05,0.053,0.029,0.29
7,2000,10,"identity","null",1000,0.058,0.057,0.02,3.28
8,10000,10,"identity","null",1000,0.055,0.056,0,71.6
9,200,20,"identity","null",1000,0.055,0.054,0.045,0.39
10,500,20,"identity","null",1000,0.047,0.048,0.034,0.77
11,2000,20,"identity","null",1000,0.065,0.065,0.016,6.01
13,200,50,"identity","null",1000,0.058,0.058,0.051,3.21
14,500,50,"identity","null",1000,0.055,0.055,0.044,6.51
15,2000,50,"identity","null",1000,0.061,0.062,0.042,28.96
17,200,5,"cs","null",1000,0.113,0.109,0.075,0.04
18,500,5,"cs","null",1000,0.121,0.112,0.064,0.16
19,2000,5,"cs","null",1000,0.108,0.104,0.028,2.47
20,10000,5,"cs","null",1000,0.101,0.106,0.023,55.23
21,200,10,"cs","null",1000,0.088,0.087,0.03,0.11
22,500,10,"cs","null",1000,0.085,0.084,0.024,0.29
23,2000,10,"cs","null",1000,0.087,0.086,0.012,3.32
24,10000,10,"cs","null",1000,0.098,0.098,0.007,72.74
25,200,20,"cs","null",1000,0.08,0.079,0.035,0.38
26,500,20,"cs","null",1000,0.066,0.066,0.014,0.81
27,2000,20,"cs","null",1000,0.08,0.082,0.007,5.85
29,200,50,"cs","null",1000,0.072,0.073,0.02,3.24
30,500,50,"cs","null",1000,0.072,0.072,0.013,6.56
31,2000,50,"cs","null",1000,0.074,0.074,0.001,29.53
33,200,5,"ar1","null",1000,0.069,0.075,0.091,0.05
34,500,5,"ar1","null",1000,0.056,0.057,0.049,0.18
35,2000,5,"ar1","null",1000,0.058,0.063,0.022,2.45
36,10000,5,"ar1","null",1000,0.053,0.053,0.002,54.76
37,200,10,"ar1","null",1000,0.054,0.056,0.044,0.12
38,500,10,"ar1","null",1000,0.067,0.068,0.036,0.31
39,2000,10,"ar1","null",1000,0.047,0.048,0.008,3.47
40,10000,10,"ar1","null",1000,0.062,0.06,0.001,72.61
41,200,20,"ar1","null",1000,0.049,0.049,0.033,0.4
42,500,20,"ar1","null",1000,0.06,0.059,0.033,0.85
43,2000,20,"ar1","null",1000,0.052,0.052,0.015,5.85
45,200,50,"ar1","null",1000,0.07,0.07,0.053,3.28
46,500,50,"ar1","null",1000,0.073,0.073,0.058,6.76
47,2000,50,"ar1","null",1000,0.054,0.056,0.031,29.51
49,200,5,"identity","sparse",1000,0.108,0.107,0.108,0.04
50,500,5,"identity","sparse",1000,0.148,0.153,0.128,0.17
51,2000,5,"identity","sparse",1000,0.224,0.227,0.074,2.43
52,10000,5,"identity","sparse",1000,0.678,0.68,0.082,54.28
53,200,10,"identity","sparse",1000,0.168,0.166,0.128,0.11
54,500,10,"identity","sparse",1000,0.252,0.253,0.173,0.3
55,2000,10,"identity","sparse",1000,0.592,0.589,0.293,3.37
56,10000,10,"identity","sparse",1000,0.992,0.993,0.734,70.79
57,200,20,"identity","sparse",1000,0.308,0.307,0.261,0.39
58,500,20,"identity","sparse",1000,0.609,0.609,0.505,0.84
59,2000,20,"identity","sparse",1000,0.984,0.984,0.934,5.97
61,200,50,"identity","sparse",1000,0.875,0.876,0.848,3.25
62,500,50,"identity","sparse",1000,0.999,0.999,0.997,6.65
63,2000,50,"identity","sparse",1000,1,1,1,29.58
65,200,5,"cs","sparse",1000,0.103,0.097,0.07,0.04
66,500,5,"cs","sparse",1000,0.102,0.102,0.057,0.17
67,2000,5,"cs","sparse",1000,0.118,0.117,0.028,2.45
68,10000,5,"cs","sparse",1000,0.105,0.106,0.019,54.62
69,200,10,"cs","sparse",1000,0.087,0.088,0.036,0.11
70,500,10,"cs","sparse",1000,0.1,0.099,0.03,0.3
71,2000,10,"cs","sparse",1000,0.096,0.094,0.015,3.29
72,10000,10,"cs","sparse",1000,0.104,0.106,0.009,71.87
73,200,20,"cs","sparse",1000,0.084,0.084,0.027,0.39
74,500,20,"cs","sparse",1000,0.081,0.082,0.018,0.82
75,2000,20,"cs","sparse",1000,0.089,0.087,0.01,5.87
77,200,50,"cs","sparse",1000,0.109,0.109,0.037,3.16
78,500,50,"cs","sparse",1000,0.098,0.098,0.015,6.54
79,2000,50,"cs","sparse",1000,0.102,0.102,0.002,29.21
81,200,5,"ar1","sparse",1000,0.082,0.091,0.103,0.05
82,500,5,"ar1","sparse",1000,0.114,0.111,0.068,0.18
83,2000,5,"ar1","sparse",1000,0.191,0.193,0.067,2.5
84,10000,5,"ar1","sparse",1000,0.498,0.495,0.047,54.42
85,200,10,"ar1","sparse",1000,0.138,0.137,0.104,0.11
86,500,10,"ar1","sparse",1000,0.195,0.197,0.118,0.3
87,2000,10,"ar1","sparse",1000,0.438,0.436,0.194,3.47
88,10000,10,"ar1","sparse",1000,0.927,0.923,0.442,70.88
89,200,20,"ar1","sparse",1000,0.252,0.254,0.203,0.39
90,500,20,"ar1","sparse",1000,0.433,0.433,0.328,0.87
91,2000,20,"ar1","sparse",1000,0.888,0.889,0.739,6.55
93,200,50,"ar1","sparse",1000,0.664,0.665,0.634,3.27
94,500,50,"ar1","sparse",1000,0.951,0.951,0.931,6.68
95,2000,50,"ar1","sparse",1000,1,1,1,29.86
97,200,5,"identity","moderate",1000,0.118,0.115,0.126,0.04
98,500,5,"identity","moderate",1000,0.126,0.129,0.094,0.16
99,2000,5,"identity","moderate",1000,0.23,0.23,0.078,2.86
100,10000,5,"identity","moderate",1000,0.658,0.659,0.088,55.27
101,200,10,"identity","moderate",1000,0.171,0.169,0.14,0.12
102,500,10,"identity","moderate",1000,0.281,0.279,0.175,0.29
103,2000,10,"identity","moderate",1000,0.619,0.62,0.303,3.33
104,10000,10,"identity","moderate",1000,0.994,0.995,0.738,80.32
105,200,20,"identity","moderate",1000,0.35,0.352,0.294,0.46
106,500,20,"identity","moderate",1000,0.607,0.607,0.503,0.85
107,2000,20,"identity","moderate",1000,0.981,0.98,0.935,5.98
109,200,50,"identity","moderate",1000,0.866,0.866,0.848,3.34
110,500,50,"identity","moderate",1000,0.996,0.996,0.989,6.68
111,2000,50,"identity","moderate",1000,1,1,1,29.49
113,200,5,"cs","moderate",1000,0.127,0.126,0.085,0.04
114,500,5,"cs","moderate",1000,0.123,0.118,0.058,0.16
115,2000,5,"cs","moderate",1000,0.103,0.103,0.035,2.37
116,10000,5,"cs","moderate",1000,0.128,0.121,0.023,54.34
117,200,10,"cs","moderate",1000,0.097,0.098,0.036,0.1
118,500,10,"cs","moderate",1000,0.097,0.095,0.034,0.3
119,2000,10,"cs","moderate",1000,0.106,0.105,0.017,3.29
120,10000,10,"cs","moderate",1000,0.086,0.082,0.003,72.46
121,200,20,"cs","moderate",1000,0.104,0.104,0.024,0.4
122,500,20,"cs","moderate",1000,0.091,0.092,0.021,0.82
123,2000,20,"cs","moderate",1000,0.1,0.099,0.012,5.75
125,200,50,"cs","moderate",1000,0.121,0.121,0.031,3.24
126,500,50,"cs","moderate",1000,0.106,0.106,0.017,6.54
127,2000,50,"cs","moderate",1000,0.109,0.109,0.01,29.43
129,200,5,"ar1","moderate",1000,0.109,0.103,0.107,0.05
130,500,5,"ar1","moderate",1000,0.145,0.149,0.086,0.17
131,2000,5,"ar1","moderate",1000,0.209,0.208,0.064,2.48
132,10000,5,"ar1","moderate",1000,0.468,0.474,0.051,55.79
133,200,10,"ar1","moderate",1000,0.136,0.136,0.101,0.12
134,500,10,"ar1","moderate",1000,0.211,0.207,0.14,0.31
135,2000,10,"ar1","moderate",1000,0.407,0.406,0.171,3.41
136,10000,10,"ar1","moderate",1000,0.943,0.942,0.453,73.97
137,200,20,"ar1","moderate",1000,0.282,0.28,0.243,0.4
138,500,20,"ar1","moderate",1000,0.424,0.424,0.339,0.85
139,2000,20,"ar1","moderate",1000,0.876,0.875,0.745,6.01
141,200,50,"ar1","moderate",1000,0.677,0.678,0.639,3.28
142,500,50,"ar1","moderate",1000,0.933,0.933,0.916,6.85
